isa01,kamahori,en_grammar_advanced_plus,3時間28分58秒
holon-tierra_ng,miu-osugi,math_elementary,0時間6分59秒
holon-tierra_ng,satomaru,math_elementary,0時間0分0秒
zen14,Musashi0125,math_elementary,0時間36分14秒
zen14,Musashi0125,math_basic,7時間3分14秒
holon-tierra_ng,inouemomoko,math_a,12時間57分8秒
noh07,n-araki,math_basic,11時間51分58秒
kec03,inamoto720junya,math_1,21時間39分19秒
kec03,inamoto720junya,math_a,6時間58分55秒
meb04,shimakotarou,en_grammar_fundamental_plus,2時間29分10秒
meb04,shimakotarou,en_grammar_fundamental,17時間47分23秒
aki01,atamachisa,math_1,11時間19分50秒
univer,univer05,math_1,15時間21分20秒
kec02,sugitaminori,math_1,53時間27分58秒
holon-tierra_u,SakuradaYuna,math_elementary,1時間33分36秒
dia02,sara0701,math_elementary,0時間10分42秒
holon-tierra_ng,Hana0531,math_elementary,0時間9分10秒
kec01,nakatani,en_grammar_fundamental_plus,0時間40分24秒
dot00,oomatuiduki,math_elementary,1時間21分51秒
dot00,oomatuiduki,math_basic,46時間39分42秒
zenkyoken_shime,T-2004sato,math_elementary,1時間0分5秒
kec02,toumax,en_grammar_advanced,12時間11分44秒
kec02,toumax,en_grammar_etc,5時間2分10秒
kec02,toumax,en_grammar_fundamental_plus,1時間11分57秒
kec02,toumax,en_grammar_fundamental,8時間34分42秒
kec02,toumax,en_grammar_advanced_plus,6時間27分53秒
kec06,ikebata,en_grammar_fundamental_plus,1時間42分2秒
kec06,ikebata,en_grammar_fundamental,5時間35分39秒
kec02,Matsuotaisei,en_grammar_advanced,14時間10分55秒
kec02,Matsuotaisei,en_grammar_etc,6時間17分5秒
kec02,Matsuotaisei,en_grammar_fundamental_plus,3時間1分58秒
kec02,Matsuotaisei,en_grammar_fundamental,9時間11分53秒
kec02,Matsuotaisei,en_grammar_advanced_plus,12時間27分13秒
edic_t,edt11,math_elementary,0時間3分19秒
goa02,testmichimoto,math_elementary,0時間34分26秒
zen14,yamaguchi,math_elementary,0時間30分27秒
zup01,inoue_ayano,math_1,4時間32分19秒
hol32,tabatamoeka,math_b,43時間15分49秒
hol32,tabatamoeka,math_a,8時間53分15秒
tie02,hayashitakakazu,math_1,14時間10分31秒
zup01,oishi_nonoko,en_grammar_advanced,7時間34分38秒
zup01,oishi_nonoko,en_grammar_fundamental_plus,1時間8分49秒
zup01,oishi_nonoko,en_grammar_fundamental,3時間43分44秒
zup01,oishi_nonoko,en_grammar_advanced_plus,7時間0分33秒
was03,ikon64,en_grammar_advanced,5時間42分4秒
was03,ikon64,en_grammar_etc,1時間38分33秒
was03,ikon64,en_grammar_fundamental_plus,0時間27分9秒
was03,ikon64,en_grammar_fundamental,1時間52分20秒
was03,ikon64,en_grammar_advanced_plus,3時間45分57秒
holon-tierra_ng,ikedamana,math_elementary,3時間56分48秒
holon-tierra_ng,ikedamana,math_basic,34時間30分2秒
zup01,kobayashi_nanaka,math_elementary,1時間1分39秒
zup02,n0105,en_grammar_fundamental_plus,0時間58分51秒
zup02,n0105,en_grammar_advanced_plus,6時間50分5秒
edi04,sumitsubu96,math_elementary,0時間35分38秒
zup04,nakamurayurika,math_2,10時間42分46秒
zup04,nakamurayurika,math_1,5時間12分41秒
dot00,ikeberyu,math_1,16時間27分56秒
